feature,importance
OverallQual,0.5899028537471156
GrLivArea,0.11440528042177267
TotalBsmtSF,0.04393408545998323
2ndFlrSF,0.03296228705413259
BsmtFinSF1,0.03130050701610848
GarageCars,0.02382623777950052
1stFlrSF,0.015382973797262568
LotArea,0.013829840218060418
GarageArea,0.011365423439036272
BsmtQual_Ex,0.009204049202038442
YearRemodAdd,0.008722129457656646
YearBuilt,0.008356718084018253
FullBath,0.006551979113599862
OverallCond,0.006166052648765808
LotFrontage,0.005275640602108405
TotRmsAbvGrd,0.005261192518588164
ExterQual_TA,0.004179487025633438
GarageFinish_Unf,0.004058479990319089
Fireplaces,0.003120178206512679
KitchenQual_TA,0.0030763873862173145
MasVnrArea,0.003004110650483709
OpenPorchSF,0.002672338082260653
MSZoning_RM,0.0023599408589527362
GarageYrBlt,0.0022020052824833908
GarageType_Detchd,0.0021251286111601698
FireplaceQu_other,0.0020550528704848365
Neighborhood_Edwards,0.002049380551737652
MoSold,0.0019610702169513055
BsmtFinType1_GLQ,0.001782118043294601
BsmtUnfSF,0.0017550874323333304
KitchenQual_Gd,0.0017447383211408405
CentralAir_N,0.0016720914763061977
KitchenAbvGr,0.0015913350067838187
ScreenPorch,0.001556523125719458
BsmtExposure_No,0.0013915734169135708
WoodDeckSF,0.001269222365280632
KitchenQual_Ex,0.0012598327991779042
SaleType_New,0.0011925937740291752
Id,0.0011880318715697957
LotShape_Reg,0.0011384954925980687
Neighborhood_Crawfor,0.001119913024399013
LandContour_Bnk,0.0010655064818206959
MSSubClass,0.0009955528772827254
LotConfig_CulDSac,0.0009794505321241238
Neighborhood_NridgHt,0.0009125726490990746
BsmtExposure_Gd,0.0009113835620972721
CentralAir_Y,0.000809452228898187
MSZoning_RL,0.0007749291001000647
SaleType_WD,0.000688491885096425
BsmtQual_TA,0.0006452617900813708
LowQualFinSF,0.0005470489310460437
MasVnrType_None,0.0005143894229631718
Alley_Pave,0.0005050147087155659
BsmtQual_Gd,0.0004940009345057811
Neighborhood_StoneBr,0.0004907001437920905
ExterQual_Gd,0.0004901732194024116
Exterior1st_VinylSd,0.0004733618272131789
SaleCondition_Partial,0.0004522284931921786
LandSlope_Gtl,0.0004446768363773451
Exterior2nd_VinylSd,0.0003953360813462112
HalfBath,0.00038469948012779756
Neighborhood_OldTown,0.0003803080133757283
BsmtFinSF2,0.000377028040822612
Condition1_Norm,0.0003726229668108115
MSZoning_C (all),0.0003610075881784173
MasVnrType_BrkFace,0.0003514969920691877
Alley_other,0.0003265853402840881
Exterior1st_BrkFace,0.00032316614683223816
BedroomAbvGr,0.0003150498924619442
Functional_Typ,0.00031379610319612805
SaleCondition_Abnorml,0.00029021058037319975
BsmtFullBath,0.0002875372242559096
Neighborhood_NoRidge,0.0002835086550600561
SaleCondition_Family,0.00026125679133758446
Neighborhood_NAmes,0.00025516631664795246
ExterQual_Ex,0.00025366467302388176
BsmtExposure_Av,0.00025181823120103966
FireplaceQu_Gd,0.00024360865341865756
ExterQual_Fa,0.00023850363748775151
EnclosedPorch,0.00019065278779571707
LotShape_IR2,0.0001832734361342877
PavedDrive_Y,0.00018254901212994595
HouseStyle_SLvl,0.00017166395288652632
BldgType_1Fam,0.00015454180253369443
Neighborhood_Somerst,0.00014648756967997203
Condition2_Norm,0.00013861201992401763
HeatingQC_Ex,0.00012599258438280735
Condition1_Artery,0.00012210330863088157
BsmtFinType1_ALQ,0.0001200617652611064
LotConfig_Corner,0.00011756983645113599
SaleCondition_Normal,0.0001098553628006846
LandContour_Low,0.00010916767441183242
Neighborhood_BrkSide,0.00010910975369669172
Exterior2nd_Plywood,0.00010392458145291151
RoofMatl_Tar&Grv,8.485980558500835e-05
Condition1_RRAe,8.079899049603972e-05
YrSold,8.046144659396102e-05
GarageType_CarPort,7.526055774701156e-05
RoofStyle_Gable,7.014935499995112e-05
MSZoning_RH,6.649246662281795e-05
Exterior1st_CemntBd,6.349774033815648e-05
Exterior1st_Stucco,6.263126128673707e-05
PoolQC_other,6.012549211844292e-05
Exterior2nd_CmentBd,5.6465494271741336e-05
Fence_other,5.368134073852841e-05
Functional_Mod,4.7455361528505516e-05
KitchenQual_Fa,4.244192974458839e-05
Exterior2nd_MetalSd,4.0897836070323045e-05
Neighborhood_ClearCr,4.03843146698625e-05
BsmtCond_TA,4.0033813583022154e-05
BsmtHalfBath,3.622150494878921e-05
Neighborhood_Timber,3.572376095797352e-05
Neighborhood_NWAmes,3.308650396835892e-05
Neighborhood_Mitchel,3.2854209281678055e-05
ExterCond_Fa,3.065555720906009e-05
BsmtFinType2_LwQ,3.04307205788057e-05
GarageQual_Gd,3.026528318557395e-05
PoolQC_Gd,2.908368466297789e-05
Electrical_FuseF,2.836316689147119e-05
Electrical_FuseA,2.125884943182568e-05
LandContour_Lvl,2.1076668712846483e-05
Exterior1st_MetalSd,2.0677564317328163e-05
LandContour_HLS,1.6061637206211035e-05
ExterCond_Gd,1.6044252190445025e-05
GarageFinish_Fin,1.4952313178955473e-05
GarageType_Basment,1.4500270650401137e-05
Condition1_Feedr,1.2678295558841105e-05
FireplaceQu_Po,1.22777489828633e-05
LotShape_IR1,1.0877857266701161e-05
GarageQual_TA,1.0327424215685328e-05
HouseStyle_1.5Fin,8.799806325163463e-06
Exterior2nd_Brk Cmn,8.076603987343987e-06
GarageType_BuiltIn,7.621786772141311e-06
Foundation_BrkTil,7.500754476030381e-06
BsmtFinType1_Unf,6.6595139287420475e-06
RoofMatl_CompShg,5.815658865750477e-06
Electrical_SBrkr,5.223930689221095e-06
RoofMatl_WdShngl,2.6775734205397236e-06
Exterior1st_HdBoard,2.3996914699745774e-06
LotConfig_Inside,1.4843338552219205e-06
HouseStyle_2Story,1.0819698397876114e-06
MasVnrType_Stone,4.588120196491797e-07
RoofMatl_ClyTile,2.8836518647992483e-07
Exterior2nd_ImStucc,2.4107755381848344e-07
HeatingQC_TA,1.167190364731469e-07
GarageCond_Gd,0.0
PavedDrive_N,0.0
Neighborhood_SWISU,0.0
GarageFinish_RFn,0.0
FireplaceQu_TA,0.0
PoolArea,0.0
Neighborhood_Sawyer,0.0
GarageCond_TA,0.0
GarageCond_Po,0.0
GarageCond_Fa,0.0
GarageType_2Types,0.0
Street_Grvl,0.0
GarageCond_Ex,0.0
GarageType_Attchd,0.0
PavedDrive_P,0.0
GarageQual_Po,0.0
3SsnPorch,0.0
GarageQual_Fa,0.0
GarageQual_Ex,0.0
MiscVal,0.0
LotConfig_FR2,0.0
Street_Pave,0.0
PoolQC_Ex,0.0
LotShape_IR3,0.0
Neighborhood_NPkVill,0.0
SaleCondition_AdjLand,0.0
SaleCondition_Alloca,0.0
Utilities_AllPub,0.0
Neighborhood_MeadowV,0.0
Neighborhood_IDOTRR,0.0
Neighborhood_Gilbert,0.0
Neighborhood_CollgCr,0.0
Neighborhood_BrDale,0.0
Utilities_NoSeWa,0.0
Neighborhood_Blueste,0.0
Neighborhood_Blmngtn,0.0
LandSlope_Sev,0.0
LandSlope_Mod,0.0
SaleType_Oth,0.0
SaleType_ConLw,0.0
SaleType_ConLI,0.0
LotConfig_FR3,0.0
PoolQC_Fa,0.0
Fence_GdPrv,0.0
Fence_GdWo,0.0
Alley_Grvl,0.0
Fence_MnPrv,0.0
Fence_MnWw,0.0
MiscFeature_Othr,0.0
SaleType_ConLD,0.0
MiscFeature_Shed,0.0
MiscFeature_TenC,0.0
MiscFeature_other,0.0
SaleType_COD,0.0
SaleType_CWD,0.0
SaleType_Con,0.0
MiscFeature_Gar2,0.0
Condition2_PosA,0.0
FireplaceQu_Fa,0.0
Exterior1st_AsbShng,0.0
Exterior1st_BrkComm,0.0
Exterior1st_CBlock,0.0
Exterior1st_ImStucc,0.0
Exterior1st_Plywood,0.0
Exterior1st_Stone,0.0
Exterior1st_Wd Sdng,0.0
Exterior1st_WdShing,0.0
Exterior2nd_AsbShng,0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_HdBoard,0.0
Exterior2nd_Other,0.0
Exterior2nd_Stone,0.0
Exterior2nd_Stucco,0.0
Condition2_Feedr,0.0
Exterior2nd_Wd Sdng,0.0
Exterior2nd_Wd Shng,0.0
MasVnrType_BrkCmn,0.0
Exterior1st_AsphShn,0.0
RoofMatl_WdShake,0.0
Condition1_RRNn,0.0
RoofMatl_Roll,0.0
Condition2_RRAe,0.0
Condition2_RRAn,0.0
Condition2_RRNn,0.0
BldgType_2fmCon,0.0
BldgType_Duplex,0.0
BldgType_Twnhs,0.0
BldgType_TwnhsE,0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_SFoyer,0.0
RoofStyle_Flat,0.0
RoofStyle_Gambrel,0.0
RoofStyle_Hip,0.0
RoofStyle_Mansard,0.0
RoofStyle_Shed,0.0
RoofMatl_Membran,0.0
RoofMatl_Metal,0.0
Condition2_Artery,0.0
Condition1_RRNe,0.0
FireplaceQu_Ex,0.0
BsmtFinType2_GLQ,0.0
BsmtFinType2_Unf,0.0
Heating_Floor,0.0
Heating_GasA,0.0
Heating_GasW,0.0
Heating_Grav,0.0
Heating_OthW,0.0
Heating_Wall,0.0
HeatingQC_Fa,0.0
Condition2_PosN,0.0
HeatingQC_Po,0.0
Neighborhood_Veenker,0.0
Electrical_FuseP,0.0
Electrical_Mix,0.0
Neighborhood_SawyerW,0.0
Functional_Maj1,0.0
Functional_Maj2,0.0
Functional_Min1,0.0
Functional_Min2,0.0
Functional_Sev,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_BLQ,0.0
ExterCond_Ex,0.0
BsmtFinType2_ALQ,0.0
ExterCond_Po,0.0
ExterCond_TA,0.0
Foundation_CBlock,0.0
Foundation_PConc,0.0
Foundation_Slab,0.0
Foundation_Stone,0.0
Foundation_Wood,0.0
MSZoning_FV,0.0
BsmtQual_Fa,0.0
Condition1_RRAn,0.0
BsmtCond_Fa,0.0
BsmtCond_Gd,0.0
BsmtCond_Po,0.0
Condition1_PosN,0.0
BsmtExposure_Mn,0.0
Condition1_PosA,0.0
BsmtFinType1_BLQ,0.0
BsmtFinType1_LwQ,0.0
BsmtFinType1_Rec,0.0
HeatingQC_Gd,0.0
